"lambda","lam.ci.l","lam.ci.u","loglik","rho1","rho2","rho3","rho4"
1,0,9,-183.293648006262,150.235670169179,151.217122654915,153.815708793601,154.172343311241
1,0,7,102.907631264098,149.863645836816,154.897423794829,153.35831389339,153.913501740905
0,0,10,263.198845495179,152.12052501294,150.491541821445,153.310472284317,154.708275291106
0,0,9,121.900225737097,154.353991687766,151.255165005177,154.123108464349,152.795847321796
1,0,9,162.768522275176,152.091421437029,153.090366775845,153.793477563233,153.261701508672
1,0,8,-152.399243322804,152.061473419013,153.601342622347,155.861600682376,153.892842290365
2,0,12,66.6937927165182,152.184111094089,152.841929246083,156.033151774504,154.612335676123
2,0,16,323.324765504202,152.494257528353,152.760979258198,153.574444120662,153.138679329945
0,0,10,-29.7278341849766,153.004803395675,153.902109548581,154.864111070171,153.113094588257
3,0,16,293.774504061885,155.916328295451,154.942442949643,152.866471778342,154.826522736867
1,0,11,-148.092415628081,152.570340040563,152.447691525368,154.724271559425,155.773871416729
2,0,10,53.966358544505,152.339861061527,152.328081751034,152.574633792381,153.020563567636
0,0,11,240.579296806656,152.877966057855,152.132047013725,155.028587882052,154.220977013302
2,0,11,-13.0281823711036,151.266022399849,153.077964671623,152.625205936295,153.341273257388
2,0,12,293.753374422482,152.398291848346,152.878552722332,156.662046742318,154.728786548202
1,0,8,-461.329098792469,151.115097858888,150.548692293433,155.907469874166,155.059262241876
3,0,13,125.115229007517,154.720231292037,153.278675415832,155.00666842143,152.321087853129
1,0,6,-300.428270518544,152.174448386201,152.279829667907,153.587953708157,152.421618111888
1,0,10,142.572783987586,152.287706312418,152.489424279025,152.870478680309,153.922772791294
0,0,11,77.7299017217988,149.407351015283,153.607465439396,153.089506762086,152.96831355602
0,0,9,-119.043548260773,150.407453281631,151.170973763572,154.674785582121,153.906828474016
0,0,7,-663.701358766109,152.25026508502,151.7290369014,156.225351730506,153.591086788879
2,0,10,-284.041096525461,151.652837334166,152.053474331668,155.62626538945,154.765151450809
1,0,9,180.185052647789,153.07598961803,153.648638753507,154.409606208465,153.437326319471
2,0,11,-30.107497576253,151.930524934192,152.998287778856,155.391263972047,153.5150758344
2,0,11,247.026032198048,152.761870491935,155.137432284737,154.613834143669,153.797322813819
0,0,13,314.574256705414,151.798966300579,154.416534922175,156.000860948104,152.653851974556
1,0,9,160.408349564826,153.504826928647,151.845169489465,155.385961141406,153.831066721131
0,0,5,33.4022790337895,152.96407009923,152.820282229384,156.668811194073,153.66153100817
0,0,11,-22.2765607733141,154.42456433505,151.760355878598,153.924807690345,153.222732309452
1,0,9,151.313638192749,150.278957512547,152.072057173577,153.24336971747,153.619751092582
0,0,9,190.688587944853,152.432412929831,153.590710701125,153.474208294728,152.766226127376
1,0,8,99.4693257246973,154.115257073282,153.159984317377,156.280290641045,153.656932469831
1,0,8,-93.95654048784,152.532313076738,153.823567206441,153.347393981102,155.492228581264
1,0,10,110.037894003551,152.032654009188,152.595644895008,152.422364255838,152.844506183486
0,0,9,-130.763050179721,154.963070636645,154.162493250366,155.235274096376,152.236849860552
0,0,7,-12.5243799604535,148.480941897048,150.937821533312,152.310072136199,153.90638704495
3,0,13,302.13709142261,154.006374703145,153.515104475061,154.24285869266,154.715905992675
2,0,10,356.471435254999,154.061171214691,153.450647334487,153.946868490587,153.691386578483
